"business_name","website","industry","city","state"
"Klingspor Leather Abrasives","http://grapeseedoilcorp.com","Abrasive Dealers","Beverly Hills","CA"
"Comco Inc","http://www.comcoinc.com","Abrasive Dealers","Beverly Hills","CA"
"Abrasives4sale.com","http://www.Abrasives4sale.com","Abrasive Dealers","Beverly Hills","CA"
"Abundant Life Christian Church","http://www.alcc3500.org","Abundant Life Churches","Beverly Hills","CA"
"Abundant Life Church of God","http://abundantlifetorrance.org","Abundant Life Churches","Beverly Hills","CA"
"Abundant New Life Ministries","http://www.abundantnewlifefamilyministries.com","Abundant Life Churches","Beverly Hills","CA"
"Abundant Life","http://abundantlifelb.com","Abundant Life Churches","Beverly Hills","CA"
"NRG Heating & Air Conditioning","http://www.nrgair.com","AC Repairs","Beverly Hills","CA"
"Service Experts Heating & Air Conditioning","http://www.serviceexperts.com","AC Repairs","Beverly Hills","CA"
"Season Control Air Conditioning & Heating","http://www.seasoncontrolairheat.com","AC Repairs","Beverly Hills","CA"
"Power Pro Plumbing, Heating & Air","http://facebook.com","AC Repairs","Beverly Hills","CA"
"Trusted AC Repair","http://www.trustedacrepair.com/?source=8-13&network=yp&matchtype=XNPLL","AC Repairs","Beverly Hills","CA"
"California Heating & Air","http://www.americanstandardair.com","AC Repairs","Beverly Hills","CA"
"All Valley Refrigeration","http://allvalleyrefrigeration.net/","AC Repairs","Beverly Hills","CA"
"Power Pro Plumbing Heating & Air","https://www.powerproplumbing.com/","AC Repairs","Beverly Hills","CA"
"Oxnard Appliance & Heating Service","http://www.oxnardapplianceandheating.com","AC Repairs","Beverly Hills","CA"
"Perfect Air Heating & Air Conditioning","https://api.superpages.com/xml/search?SRC=ypintfeed&subaffiliate=DXC&PGID=e02.7182.8182845904523&SPGID=1564607676420.311246af&ADID=11977969&DEST=http%3A%2F%2Fperfectairheating.mydex.com%2FwauiEKCbPJA&C=AC%20Repairs&T=Beverly%20Hills&S=CA&PH=(818)%20646-9435&FL=url&TL=off&position=10&PS=30&PI=1&Results=FEED_CLCK&uid=311246af-7dd1-4a3a-9514-6ac818d0f483&REF=&IP=108.188.128.146&UserAgent=Mozilla%2F5.0%20(X11%3B%20Linux%20x86_64)%20AppleWebKit%2F537.36%20(KHTML%2C%20like%20Gecko)%20Chrome%2F64.0.3282.140%20Safari%2F537.36","AC Repairs","Beverly Hills","CA"
"Service Experts Heating & Air Conditioning","http://www.serviceexperts.com","AC Repairs","Beverly Hills","CA"
"Sears Home Services","http://local.yp.com/Listings/Details.aspx?NUM=a%3a13764277%3a13%3a4859924%3a14%3a0%3a7","AC Repairs","Beverly Hills","CA"
"Sears Home Services","http://local.yp.com/Listings/Details.aspx?NUM=a%3a13764278%3a13%3a4859924%3a14%3a0%3a7","AC Repairs","Beverly Hills","CA"
"Ritz Plumbing","http://www.ritzplumbinginc.org","AC Repairs","Beverly Hills","CA"
"A/C Control Inc","http://www.ac-control.com","AC Repairs","Beverly Hills","CA"
"Beverly Hills Air Conditioning Service & Repair HVAC Contractor","http://danushhvac.com","AC Repairs","Beverly Hills","CA"
"Beverly Hills Air Conditioning","http://beverlyhillsairconditioning.yolastie.com","AC Repairs","Beverly Hills","CA"
"Thermal Comfort Systems","http://www.thermalcomfortsys.com","AC Repairs","Beverly Hills","CA"
"N.R.G Solar","http://www.nrgcleanpower.com","AC Repairs","Beverly Hills","CA"
"NICE AND COOL, INC.","http://www.niceandcoolhvac.com","AC Repairs","Beverly Hills","CA"
"Super Cool Air Conditioning & Refrigeration Inc","http://www.super-cool.com","AC Repairs","Beverly Hills","CA"
"Bay Cities Furnace & Air Conditioning Corp.","http://www.santamonicafurnaceandairconditioning.com","AC Repairs","Beverly Hills","CA"
"Palisades Heating & Air Conditioning","http://www.palisadesair.com","AC Repairs","Beverly Hills","CA"
"InterContinental Los Angeles Century City","https://www.intercontinental.com/redirect?path=hd&brandCode=ic&hotelCode=laxha&_PMID=99601036&setPMCookies=true&cm_mmc=mdpr-_-yellowpages-_-ic-_-LAXHA&glat=MEDI","Accommodation","Beverly Hills","CA"
"The Standard Hollywood","http://www.standardhotels.com/hollywood","Accommodation","Beverly Hills","CA"
"Farmer's Daughter Hotel","http://farmersdaughterhotel.com","Accommodation","Beverly Hills","CA"
"Andaz","http://www.andaz.hyatt.com","Accommodation","Beverly Hills","CA"
"Viceroy L’Ermitage Beverly Hills","http://www.viceroyhotelsandresorts.com/en/beverlyhills","Accommodation","Beverly Hills","CA"
