"business_name","website","industry","city","state"
"Abrasives4sale.com","http://www.Abrasives4sale.com","Abrasive Dealers","Benjamin","UT"
"Christian Life Assembly Of God","https://www.clag.us","Abundant Life Churches","Benjamin","UT"
"Africa Is Life Changing","http://www.africaislifechanging.org","Abundant Life Churches","Benjamin","UT"
"Real Plumbing Htg & Air Inc","https://www.realplumbingheatingandair.com","AC Repairs","Benjamin","UT"
"Manwill Plumbing Heating & Air Conditioning","http://www.manwill.net","AC Repairs","Benjamin","UT"
"Comfort Solutions","http://www.comfortsolutionsutah.com/","AC Repairs","Benjamin","UT"
"Service Experts Heating & Air Conditioning","http://www.serviceexperts.com","AC Repairs","Benjamin","UT"
"Comfort Champion HVAC","http://comfortchampionhvac.net","AC Repairs","Benjamin","UT"
"Sameday Heating & Air Plumbing & Electric","http://samedayutah.com","AC Repairs","Benjamin","UT"
"Burrows Heating & Cooling","http://www.burrowsheating.com","AC Repairs","Benjamin","UT"
"Pond's Plumbing Heating & Air","http://www.pondsutah.com","AC Repairs","Benjamin","UT"
"Black Diamond Electric, Plumbing, Heating and Air","http://www.blackdiamondelectriclc.com","AC Repairs","Benjamin","UT"
"Trusted AC Repair","http://www.trustedacrepair.com/?source=8-13&network=yp&matchtype=XNPLL","AC Repairs","Benjamin","UT"
"Service Experts Heating and AC","http://local.yp.com/Listings/Details.aspx?NUM=a%3a13767449%3a13%3a4859924%3a14%3a0%3a7","AC Repairs","Benjamin","UT"
"Barlow Service Experts","http://local.yp.com/Listings/Details.aspx?NUM=a%3a13767455%3a13%3a4859924%3a14%3a0%3a7","AC Repairs","Benjamin","UT"
"Service Experts Heating & Air Conditioning","https://www.ServiceExpertsProvo.com/ypdefault","AC Repairs","Benjamin","UT"
"Authority Heating & Air","https://authorityheating.com","AC Repairs","Benjamin","UT"
"Expert Plumbing","http://expertplumbingutah.com/#p8j1M","AC Repairs","Benjamin","UT"
"Western Heating & Air Conditioning","http://www.timeforcomfort.com","AC Repairs","Benjamin","UT"
"Bergmann Heating & Air Conditioning","http://www.bergmannhvac.com","AC Repairs","Benjamin","UT"
"High Point Plumbing, Heating & Air Conditioning","http://www.highpointutah.com","AC Repairs","Benjamin","UT"
"Service Experts Heating & Air Conditioning","https://www.serviceexpertsprovo.com/contact-us/schedule-service-with-the-experts-now-at-service-experts-heating-amp-air-conditioning/ypdefault","AC Repairs","Benjamin","UT"
"Service Experts Heating & Air Conditioning","http://www.serviceexperts.com","AC Repairs","Benjamin","UT"
"Service Experts Heating & Air Conditioning","http://www.serviceexperts.com","AC Repairs","Benjamin","UT"
"Service Experts Heating & Air Conditioning","https://www.thompsonandsons.com/contact-us/schedule-service-with-the-experts-now-at-service-experts-heating-amp-air-conditioning-1/ypdefault","AC Repairs","Benjamin","UT"
"Sears Home Services","http://local.yp.com/Listings/Details.aspx?NUM=a%3a13764277%3a13%3a4859924%3a14%3a0%3a7","AC Repairs","Benjamin","UT"
"Sears Home Services","http://local.yp.com/Listings/Details.aspx?NUM=a%3a13764278%3a13%3a4859924%3a14%3a0%3a7","AC Repairs","Benjamin","UT"
"Premier Car Care Center","http://www.premiercarcareutah.com","AC Repairs","Benjamin","UT"
"Connelly Heating & Air Conditioning","http://lennox.com","AC Repairs","Benjamin","UT"
"Randy's Mechanical Inc.","http://randysmechanical.com","AC Repairs","Benjamin","UT"
"Hotel Indigo","https://www.ihg.com/hotelindigo/redirect?path=home&regionCode=1&localeCode=en&_PMID=99602381&setPMCookies=true&brandCode=IN&cm_mmc=mdpr-_-yellowpages-_-platinum-_-&glat=MEDI","Accommodation","Benjamin","UT"
"InterContinental","https://www.ihg.com/intercontinental/redirect?path=home&regionCode=1&localeCode=en&_PMID=99602381&setPMCookies=true&brandCode=IC&cm_mmc=mdpr-_-yellowpages-_-platinum-_-&glat=MEDI","Accommodation","Benjamin","UT"
"Holiday Inn","http://local.yp.com/Listings/Details.aspx?NUM=a%3a13627207%3a13%3a4859924%3a14%3a0%3a7","Accommodation","Benjamin","UT"
