"business_name","website","industry","city","state"
"Abrasives4sale.com","http://www.Abrasives4sale.com","Abrasive Dealers","Big Bear Lake","CA"
"Service Experts Heating & Air Conditioning","http://www.serviceexperts.com","AC Repairs","Big Bear Lake","CA"
"Trusted AC Repair","http://www.trustedacrepair.com/?source=8-13&network=yp&matchtype=XNPLL","AC Repairs","Big Bear Lake","CA"
"Service Experts Heating & Air Conditioning","http://www.serviceexperts.com","AC Repairs","Big Bear Lake","CA"
"Sears Home Services","http://local.yp.com/Listings/Details.aspx?NUM=a%3a13764277%3a13%3a4859924%3a14%3a0%3a7","AC Repairs","Big Bear Lake","CA"
"Sears Home Services","http://local.yp.com/Listings/Details.aspx?NUM=a%3a13764278%3a13%3a4859924%3a14%3a0%3a7","AC Repairs","Big Bear Lake","CA"
"Big Bear Sheet Metal & Heating","http://www.584hero.com","AC Repairs","Big Bear Lake","CA"
"AZ Crane","http://www.azcrane.net","AC Repairs","Big Bear Lake","CA"
"5 Star Perez Heating & Air Conditioning","http://www.5starperez.com","AC Repairs","Big Bear Lake","CA"
"Mountain Appliance Repair","http://mountainappliance.net","AC Repairs","Big Bear Lake","CA"
"Geiger Supply Inc","http://geigersupplyinc.com","AC Repairs","Big Bear Lake","CA"
"Bear Valley Plumbing & Heating","http://www.584hero.com","AC Repairs","Big Bear Lake","CA"
"Scotty's Plumbing Heating & Hydronic Specialties","http://www.scottysplumbingandheating.com","AC Repairs","Big Bear Lake","CA"
"M & M Mechanical","http://heatingandairinbigbear.com","AC Repairs","Big Bear Lake","CA"
"Mr. Roberts Plumbing & Heating","http://www.bigbearplumber.com","AC Repairs","Big Bear Lake","CA"
"Holiday Inn Resort The Lodge at Big Bear Lake","https://www.ihg.com/redirect?path=hd&brandCode=rs&hotelCode=rbfrt&_PMID=99601036&setPMCookies=true&cm_mmc=mdpr-_-yellowpages-_-hi-_-RBFRT&glat=MEDI","Accommodation","Big Bear Lake","CA"
"Marina Resort","http://www.marinaresort.com","Accommodation","Big Bear Lake","CA"
"Travelodge","http://travelodge.com","Accommodation","Big Bear Lake","CA"
"Cienaga Creek Ranch","http://www.bigbearcabinscalifornia.com","Accommodation","Big Bear Lake","CA"
"Blue Horizon Lodge","http://thebigbearlodge.com","Accommodation","Big Bear Lake","CA"
"Snow Bear Lodge","http://www.snowbearlodge.com","Accommodation","Big Bear Lake","CA"
"Henry Mallard Bay Resort","http://www.bigbearlakeresorts.com","Accommodation","Big Bear Lake","CA"
"Castlewood Cottages","http://www.castlewoodcottages.com","Accommodation","Big Bear Lake","CA"
"Creek Runner Lodge","http://bigbearlake.net","Accommodation","Big Bear Lake","CA"
"Big Bear Lake Front Lodge","http://www.lakefrontlodge.com","Accommodation","Big Bear Lake","CA"
"Grey Squirrel Resort","http://www.greysquirrel.com","Accommodation","Big Bear Lake","CA"
"Motel 6 Big Bear","https://www.motel6.com/en/motels.ca.big-bear-lake.369.html?lid=X_PMG_NaturalSearch_Local_Yext_369&utm_source=local&utm_medium=local&utm_campaign=yextlocal-369&travelAgentNumber=TA001305&corporatePlusNumber=CP792N5W","Accommodation","Big Bear Lake","CA"
"Best Western Big Bear Chateau","https://www.bestwestern.com/en_US/book/hotel-rooms.05641.html?iata=00171890&ssob=BLBWI0003G&cid=BLBWI0003G:yext:website:05641","Accommodation","Big Bear Lake","CA"
"Knights Inn","http://www.knightsinn.com","Accommodation","Big Bear Lake","CA"
"Black Forest Lodge","http://www.blackforestlodge.acehotels.co","Accommodation","Big Bear Lake","CA"
"Cozy Hollow Lodge","http://www.cozyhollowlodge.com","Accommodation","Big Bear Lake","CA"
"Timberlane Lodge","http://www.timberlinebigbear.com","Accommodation","Big Bear Lake","CA"
"Big Bear Hostel","http://www.adventurehostel.com","Accommodation","Big Bear Lake","CA"
"cabins4less","http://bigbearcabins4less.com","Accommodation","Big Bear Lake","CA"
"Big Bear Lakeview","http://www.bblakeview.com","Accommodation","Big Bear Lake","CA"
"The Block","http://hrblock.com","Accommodation","Big Bear Lake","CA"
"Edge Water Inn","http://bigbearcabins4less.com","Accommodation","Big Bear Lake","CA"
"Tanda Lodge Inc","http://www.camptanda.org","Accommodation","Big Bear Lake","CA"
"Vintage Inn","http://www.vintagelakesideinn.com","Accommodation","Big Bear Lake","CA"
"Guhos Ranch","http://bigbearlakelodgings.com","Accommodation","Big Bear Lake","CA"
"Pramann Chiropractic","http://www.pramannchiropractic.com","Acupuncture","Big Bear Lake","CA"
"Tension Masters","http://tensionmasters.com","Acupuncture","Big Bear Lake","CA"
"Arrowhead Acupuncture","http://www.arrowheadacupuncture.com","Acupuncture","Big Bear Lake","CA"
"Iris Acupuncture & Herbal Clinic","http://www.irisacu.com","Acupuncture","Big Bear Lake","CA"
"Pacer Technology","http://www.supergluecorp.com","Adhesive","Big Bear Lake","CA"
"Hughes R S Inc","http://www.rshughes.com","Adhesive","Big Bear Lake","CA"
"Advantage Adhesive Inc","http://www.advantageadhesives.com","Adhesive","Big Bear Lake","CA"
"Evans Adhesive Corp","http://www.evansadhesive.com","Adhesive","Big Bear Lake","CA"
"Brooks Protech Corp","http://brookspt.com","Adhesive","Big Bear Lake","CA"
"American Standard Adhesives","http://asaglue.com","Adhesive","Big Bear Lake","CA"
"PackPro USA","http://packprousa.com","Adhesive","Big Bear Lake","CA"
"Tindale Oliver","http://www.wftaylor.com","Adhesive","Big Bear Lake","CA"
"Adheva","http://www.adheva.com","Adhesive","Big Bear Lake","CA"
"Rockler","http://www.rockler.com","Adhesive","Big Bear Lake","CA"
"Avery Dennison Corp","http://www.averydennison.com","Adhesive","Big Bear Lake","CA"
"W A Murphy Inc","http://www.wamurphy.com","Adhesive","Big Bear Lake","CA"
"Paiho North America","http://www.paiho-usa.com","Adhesive","Big Bear Lake","CA"
"American Standard Adhesives, Inc.","http://asaglue.com","Adhesive","Big Bear Lake","CA"
"Textape Incorporated","http://www.textape.com","Adhesive","Big Bear Lake","CA"
"California Industrial Rubber Company","http://www.californiaindustrialrubber.net","Adhesive","Big Bear Lake","CA"
"Pfi Polyfreeze Inc.","http://www.polyfreeze.com","Adhesive","Big Bear Lake","CA"
"Bostik Inc","http://www.bostik.com/us","Adhesive","Big Bear Lake","CA"
"Deccofelt Corp","http://www.deccofelt.com","Adhesive","Big Bear Lake","CA"
"Aquabond","http://aquabondadhesives.com","Adhesive","Big Bear Lake","CA"
"Spinnaker Coating","http://spinnakercoating.com","Adhesive","Big Bear Lake","CA"
"Forever After Adoptions of San Bernardino","http://adoptionagencycalifornia.com","Adoption Centres","Big Bear Lake","CA"
