"business_name","website","industry","city","state"
"Desert Cutting Tools Inc","http://www.desertcuttingtools.com","Abrasive Dealers","Phoenix","FL"
"Pecks Coating Supply Co","http://www.peckscoatingsupply.com","Abrasive Dealers","Phoenix","FL"
"Sl Fusco","https://www.slfusco.com","Abrasive Dealers","Phoenix","FL"
"Rockler","http://www.rockler.com","Abrasive Dealers","Phoenix","FL"
"Copper State Bolt & Nut","http://www.copperstate.com","Abrasive Dealers","Phoenix","FL"
"General Tool & Supply, a division of Motion Industries","https://www.motionindustries.com","Abrasive Dealers","Phoenix","FL"
"Tempe Abrasives Inc","http://www.tempeabrasives.com","Abrasive Dealers","Phoenix","FL"
"Wespac Industrial Supply","http://www.wespacindustrial.com","Abrasive Dealers","Phoenix","FL"
"A P D Power Center","http://www.apdpowercenter.com","Abrasive Dealers","Phoenix","FL"
"Braemar Grinding Supply","http://bgsusa.com","Abrasive Dealers","Phoenix","FL"
"Abrasives4sale.com","http://www.Abrasives4sale.com","Abrasive Dealers","Phoenix","FL"
"Word of Abundant Life Ministries","http://www.woalcc.org","Abundant Life Churches","Phoenix","FL"
"Abundant Life Center","https://www.alcphoenix.com","Abundant Life Churches","Phoenix","FL"
"Abundant Life Chandler Gilbert Church","http://www.lifechurchaz.net","Abundant Life Churches","Phoenix","FL"
"Abundant Life Seventh-Day","http://abundantlifeaz.adventistchurch.org","Abundant Life Churches","Phoenix","FL"
"George Brazil Air Conditioning & Heating","http://www.georgebrazilhvac.com","AC Repairs","Phoenix","FL"
"George Brazil Air Conditioning & Heating","http://www.georgebrazilhvac.com","AC Repairs","Phoenix","FL"
"AccuTemp Refrigeration - Phoenix","http://accutempaz.com/about-us/nate-north-american-technician-excellence","AC Repairs","Phoenix","FL"
"A/C & Refrigeration","http://acandrefrigeration.com/","AC Repairs","Phoenix","FL"
"Custom Cooling and Plumbing","http://customplumbing.com","AC Repairs","Phoenix","FL"
"Dalton Air Conditioning & Custom Sheet Metal Products","http://www.daltonairconditioning.com","AC Repairs","Phoenix","FL"
"Dial One Mears Air Conditioning and Heating Inc","https://www.mearsac.com","AC Repairs","Phoenix","FL"
"Air Dynamics","http://local.yp.com/Listings/Details.aspx?NUM=a%3a13593310%3a13%3a4859924%3a14%3a0%3a7","AC Repairs","Phoenix","FL"
"KB A/C and Heating","http://www.kbacandheating.com","AC Repairs","Phoenix","FL"
"Indoor Comfort Inc.","http://iciaz.com/index.html","AC Repairs","Phoenix","FL"
"Commerical Radiator Service Inc","http://www.crsphx.com","AC Repairs","Phoenix","FL"
"Johnson Paul Garage","http://www.pauljohnsongarage.com","AC Repairs","Phoenix","FL"
"Daniel's Total Car Care","http://www.danielstotalcarcare.com","AC Repairs","Phoenix","FL"
"Parker And Son's Cooling, Heating & Plumbing","http://www.parkerandsons.com","AC Repairs","Phoenix","FL"
"Kool Box Inc","http://koolbox.com","AC Repairs","Phoenix","FL"
"Carmel Automotive","http://carmelautomotiveaz.com","AC Repairs","Phoenix","FL"
"AZ Trusted Air LLC","https://www.aztrustedair.com","AC Repairs","Phoenix","FL"
"Marlin Services","http://www.marlinservices.com","AC Repairs","Phoenix","FL"
"Sears Carpet Cleaning Service AZ","http://carpetcleaningserviceaz.com","AC Repairs","Phoenix","FL"
"Service Experts Heating & Air Conditioning","http://www.serviceexperts.com","AC Repairs","Phoenix","FL"
"Bob Brown Service Experts","https://www.bobbrownserviceexperts.com/contact-us/schedule-service-with-the-experts-now-at-bob-brown-service-experts-heating-amp-air/ypdefault","AC Repairs","Phoenix","FL"
"Minuteman Home Services LLC","http://www.minutemanhomeservicesaz.com","AC Repairs","Phoenix","FL"
"Trusted AC Repair","http://www.trustedacrepair.com/?source=8-13&network=yp&matchtype=XNPLL","AC Repairs","Phoenix","FL"
"Wahl Air Conditioning Inc.","http://www.citysearch.com/profile/1712825/peoria_az/wahl_air_conditioning.html","AC Repairs","Phoenix","FL"
"Sure Temp Air Conditioning, LLC","http://www.suretempair.com","AC Repairs","Phoenix","FL"
"Guaranteed Appliance, Inc.","http://api.citygridmedia.com/content/places/v2/click?q=urVBa6moXC5S9VPyC16BYBn_NxLXMVobS_8vbcyI69_gxb4CfBJy9OKohTker_VRQUs_rkabzY8Aw-E7wg8PzxGIRE6Qeb1zffG2kRjt9wW32cq9uCECkL8wpv5bmgpndb9KNJbsNxrNi2G1KmECSUq3NuGKgJ0mKPp7OcPDJv0iPqhAMVLOYhmaKM5z3o8Uut5hHRnEDryWI1DzNQ20o01ll8oduRWc2geCuF8KEYWRT1fDmcMxzhmibldnQPDsMqoJdIEjmQhVEQcbF0-P_gB2T6fjlK1tHHpLXERmPN3XdDlX0jg2oRXG--xmS8zm33Xxzj5yaYHeJIzjjWBpjYwBo9_XoqEYauq1ThkGztsSnNzqpDfD5hmtHUmYdAXOC5mcyKS3uEwxvigo4njy01sY_ZPw_Bbio00_bw_zGAXz7lJrprEXpRxYRxztqcVnAt5qYFS9ZUvE7GT07hSmT-CS5ag5SHq_LGkVBIIMMGh_rhfaDC-VsEI5SurUtll5","AC Repairs","Phoenix","FL"
"Crowne Plaza","http://local.yp.com/Listings/Details.aspx?NUM=a%3a13687086%3a13%3a4859924%3a14%3a0%3a7","Accommodation","Phoenix","FL"
"Holiday Inn North Phoenix","https://www.holidayinn.com/redirect?path=hd&brandCode=hi&hotelCode=phxno&_PMID=99601036&setPMCookies=true&cm_mmc=mdpr-_-yellowpages-_-hi-_-PHXNO&glat=MEDI","Accommodation","Phoenix","FL"
"Holiday Inn Hotel & Suites Phoenix Airport North","https://www.holidayinn.com/redirect?path=hd&brandCode=hi&hotelCode=phxff&_PMID=99601036&setPMCookies=true&cm_mmc=mdpr-_-yellowpages-_-hi-_-PHXFF&glat=MEDI","Accommodation","Phoenix","FL"
"Holiday Inn Phoenix-West","https://www.holidayinn.com/redirect?path=hd&brandCode=hi&hotelCode=phxaz&_PMID=99601036&setPMCookies=true&cm_mmc=mdpr-_-yellowpages-_-hi-_-PHXAZ&glat=MEDI","Accommodation","Phoenix","FL"
"Holiday Inn Hotel & Suites Phoenix Airport","https://www.holidayinn.com/redirect?path=hd&brandCode=hi&hotelCode=phxaa&_PMID=99601036&setPMCookies=true&cm_mmc=mdpr-_-yellowpages-_-hi-_-PHXAA&glat=MEDI","Accommodation","Phoenix","FL"
"Holiday Inn Express & Suites Phoenix/Chandler (Ahwatukee)","https://www.hiexpress.com/redirect?path=hd&brandCode=ex&hotelCode=phxcd&_PMID=99601036&setPMCookies=true&cm_mmc=mdpr-_-yellowpages-_-ex-_-PHXCD&glat=MEDI","Accommodation","Phoenix","FL"
"Holiday Inn Express & Suites Phoenix Downtown - Ballpark","https://www.hiexpress.com/redirect?path=hd&brandCode=ex&hotelCode=phxdt&_PMID=99601036&setPMCookies=true&cm_mmc=mdpr-_-yellowpages-_-ex-_-PHXDT&glat=MEDI","Accommodation","Phoenix","FL"
"Holiday Inn Express & Suites Phoenix Airport","https://www.hiexpress.com/redirect?path=hd&brandCode=ex&hotelCode=phxun&_PMID=99601036&setPMCookies=true&cm_mmc=mdpr-_-yellowpages-_-ex-_-PHXUN&glat=MEDI","Accommodation","Phoenix","FL"
"Candlewood Suites Phoenix","https://www.candlewoodsuites.com/redirect?path=hd&brandCode=cw&hotelCode=phxbc&_PMID=99601036&setPMCookies=true&cm_mmc=mdpr-_-yellowpages-_-cw-_-PHXBC&glat=MEDI","Accommodation","Phoenix","FL"
"Holiday Inn Express & Suites Phoenix North - Scottsdale","https://www.hiexpress.com/redirect?path=hd&brandCode=ex&hotelCode=phxac&_PMID=99601036&setPMCookies=true&cm_mmc=mdpr-_-yellowpages-_-ex-_-PHXAC&glat=MEDI","Accommodation","Phoenix","FL"
